Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
5893236,05-08-2026,11:14:17,1,0:00:34.222,0:00:34.222,0:00:34.222,"27.351 km/h",
5893236,05-08-2026,11:14:52,2,0:01:07.479,0:00:33.257,0:00:33.257,"28.144 km/h",-0:00:00.965
5893236,05-08-2026,11:15:25,3,0:01:41.189,0:00:33.710,0:00:33.710,"27.766 km/h",0:00:00.453
5893236,05-08-2026,11:15:59,4,0:02:14.581,0:00:33.392,0:00:33.392,"28.031 km/h",-0:00:00.318
5893236,05-08-2026,11:16:32,5,0:02:47.207,0:00:32.626,0:00:32.626,"28.689 km/h",-0:00:00.766
5893236,05-08-2026,11:17:05,6,0:03:19.392,0:00:32.185,0:00:32.185,"29.082 km/h",-0:00:00.441
5893236,05-08-2026,11:17:37,7,0:03:51.421,0:00:32.029,0:00:32.029,"29.224 km/h",-0:00:00.156
5893236,05-08-2026,11:18:09,8,0:04:27.120,0:00:35.699,0:00:35.699,"26.219 km/h",0:00:03.670
5893236,05-08-2026,11:18:45,9,0:05:00.699,0:00:33.579,0:00:33.579,"27.875 km/h",-0:00:02.120
,,,,,,,,
5893236,05-08-2026,11:21:22,1,0:00:33.575,0:00:33.575,0:00:33.575,"27.878 km/h",
5893236,05-08-2026,11:21:56,2,0:01:05.808,0:00:32.233,0:00:32.233,"29.039 km/h",-0:00:01.342
5893236,05-08-2026,11:22:28,3,0:01:37.894,0:00:32.086,0:00:32.086,"29.172 km/h",-0:00:00.147
5893236,05-08-2026,11:23:00,4,0:02:10.320,0:00:32.426,0:00:32.426,"28.866 km/h",0:00:00.340
5893236,05-08-2026,11:23:32,5,0:02:42.480,0:00:32.160,0:00:32.160,"29.104 km/h",-0:00:00.266
,,,,,,,,
5893236,05-08-2026,11:31:19,1,0:00:32.951,0:00:32.951,0:00:32.951,"28.406 km/h",
5893236,05-08-2026,11:31:52,2,0:01:07.036,0:00:34.085,0:00:34.085,"27.461 km/h",0:00:01.134
5893236,05-08-2026,11:32:26,3,0:01:39.847,0:00:32.811,0:00:32.811,"28.527 km/h",-0:00:01.274
5893236,05-08-2026,11:32:59,4,0:02:12.082,0:00:32.235,0:00:32.235,"29.037 km/h",-0:00:00.576
5893236,05-08-2026,11:33:31,5,0:02:44.299,0:00:32.217,0:00:32.217,"29.053 km/h",-0:00:00.018
5893236,05-08-2026,11:34:03,6,0:03:16.799,0:00:32.500,0:00:32.500,"28.800 km/h",0:00:00.283
5893236,05-08-2026,11:34:36,7,0:03:56.077,0:00:39.278,0:00:39.278,"23.830 km/h",0:00:06.778
5893236,05-08-2026,11:35:15,8,0:04:28.841,0:00:32.764,0:00:32.764,"28.568 km/h",-0:00:06.514
5893236,05-08-2026,11:35:48,9,0:05:01.429,0:00:32.588,0:00:32.588,"28.722 km/h",-0:00:00.176
,,,,,,,,
5893236,05-08-2026,11:37:39,1,0:00:35.267,0:00:35.267,0:00:35.267,"26.540 km/h",
5893236,05-08-2026,11:38:14,2,0:01:10.125,0:00:34.858,0:00:34.858,"26.852 km/h",-0:00:00.409
5893236,05-08-2026,11:38:49,3,0:01:42.326,0:00:32.201,0:00:32.201,"29.067 km/h",-0:00:02.657
5893236,05-08-2026,11:39:21,4,0:02:14.119,0:00:31.793,0:00:31.793,"29.440 km/h",-0:00:00.408
5893236,05-08-2026,11:39:53,5,0:02:47.084,0:00:32.965,0:00:32.965,"28.394 km/h",0:00:01.172
5893236,05-08-2026,11:40:26,6,0:03:19.221,0:00:32.137,0:00:32.137,"29.125 km/h",-0:00:00.828
5893236,05-08-2026,11:40:58,7,0:03:52.835,0:00:33.614,0:00:33.614,"27.846 km/h",0:00:01.477
5893236,05-08-2026,11:41:31,8,0:04:24.557,0:00:31.722,0:00:31.722,"29.506 km/h",-0:00:01.892
5893236,05-08-2026,11:42:03,9,0:04:56.210,0:00:31.653,0:00:31.653,"29.571 km/h",-0:00:00.069
5893236,05-08-2026,11:42:35,10,0:05:28.386,0:00:32.176,0:00:32.176,"29.090 km/h",0:00:00.523
5893236,05-08-2026,11:43:07,11,0:05:59.470,0:00:31.084,0:00:31.084,"30.112 km/h",-0:00:01.092
5893236,05-08-2026,11:43:38,12,0:06:31.872,0:00:32.402,0:00:32.402,"28.887 km/h",0:00:01.318
,,,,,,,,
5893236,05-08-2026,13:26:25,1,0:00:32.158,0:00:32.158,0:00:32.158,"29.106 km/h",
5893236,05-08-2026,13:26:57,2,0:01:05.377,0:00:33.219,0:00:33.219,"28.177 km/h",0:00:01.061
5893236,05-08-2026,13:27:31,3,0:01:37.682,0:00:32.305,0:00:32.305,"28.974 km/h",-0:00:00.914
