Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
6113607,27-06-2025,17:36:51,1,0:00:50.754,0:00:50.754,0:00:50.754,"18.442 km/h",
6113607,27-06-2025,17:37:42,2,0:01:30.048,0:00:39.294,0:00:39.294,"23.820 km/h",-0:00:11.460
6113607,27-06-2025,17:38:21,3,0:02:15.263,0:00:45.215,0:00:45.215,"20.701 km/h",0:00:05.921
,,,,,,,,
6113607,27-06-2025,17:59:05,1,0:00:35.020,0:00:35.020,0:00:35.020,"26.728 km/h",
6113607,27-06-2025,17:59:40,2,0:01:28.450,0:00:53.430,0:00:53.430,"17.518 km/h",0:00:18.410
6113607,27-06-2025,18:00:34,3,0:02:05.240,0:00:36.790,0:00:36.790,"25.442 km/h",-0:00:16.640
6113607,27-06-2025,18:01:11,4,0:02:39.678,0:00:34.438,0:00:34.438,"27.179 km/h",-0:00:02.352
,,,,,,,,
6113607,27-06-2025,18:03:03,1,0:00:33.347,0:00:33.347,0:00:33.347,"28.068 km/h",
6113607,27-06-2025,18:03:37,2,0:01:06.578,0:00:33.231,0:00:33.231,"28.166 km/h",-0:00:00.116
,,,,,,,,
6113607,27-06-2025,18:05:12,1,0:00:34.074,0:00:34.074,0:00:34.074,"27.470 km/h",
6113607,27-06-2025,18:05:46,2,0:01:06.286,0:00:32.212,0:00:32.212,"29.057 km/h",-0:00:01.862
6113607,27-06-2025,18:06:19,3,0:01:39.898,0:00:33.612,0:00:33.612,"27.847 km/h",0:00:01.400
6113607,27-06-2025,18:06:52,4,0:02:12.877,0:00:32.979,0:00:32.979,"28.382 km/h",-0:00:00.633
6113607,27-06-2025,18:07:25,5,0:03:00.623,0:00:47.746,0:00:47.746,"19.604 km/h",0:00:14.767
6113607,27-06-2025,18:08:13,6,0:03:34.968,0:00:34.345,0:00:34.345,"27.253 km/h",-0:00:13.401
,,,,,,,,
6113607,27-06-2025,18:10:00,1,0:00:32.762,0:00:32.762,0:00:32.762,"28.570 km/h",
6113607,27-06-2025,18:10:33,2,0:01:07.992,0:00:35.230,0:00:35.230,"26.568 km/h",0:00:02.468
6113607,27-06-2025,18:11:08,3,0:01:42.008,0:00:34.016,0:00:34.016,"27.516 km/h",-0:00:01.214
6113607,27-06-2025,18:11:42,4,0:02:17.315,0:00:35.307,0:00:35.307,"26.510 km/h",0:00:01.291
,,,,,,,,
6113607,27-06-2025,18:18:46,1,0:00:34.084,0:00:34.084,0:00:34.084,"27.462 km/h",
6113607,27-06-2025,18:19:20,2,0:01:30.880,0:00:56.796,0:00:56.796,"16.480 km/h",0:00:22.712
6113607,27-06-2025,18:20:17,3,0:02:04.289,0:00:33.409,0:00:33.409,"28.016 km/h",-0:00:23.387
6113607,27-06-2025,18:20:50,4,0:02:36.708,0:00:32.419,0:00:32.419,"28.872 km/h",-0:00:00.990
6113607,27-06-2025,18:21:23,5,0:03:13.819,0:00:37.111,0:00:37.111,"25.222 km/h",0:00:04.692
,,,,,,,,
6113607,27-06-2025,18:23:14,1,0:00:35.146,0:00:35.146,0:00:35.146,"26.632 km/h",
6113607,27-06-2025,18:23:50,2,0:01:12.067,0:00:36.921,0:00:36.921,"25.351 km/h",0:00:01.775
6113607,27-06-2025,18:24:26,3,0:01:45.065,0:00:32.998,0:00:32.998,"28.365 km/h",-0:00:03.923
6113607,27-06-2025,18:24:59,4,0:02:18.621,0:00:33.556,0:00:33.556,"27.894 km/h",0:00:00.558
6113607,27-06-2025,18:25:33,5,0:02:52.432,0:00:33.811,0:00:33.811,"27.683 km/h",0:00:00.255
6113607,27-06-2025,18:26:07,6,0:03:27.473,0:00:35.041,0:00:35.041,"26.712 km/h",0:00:01.230
6113607,27-06-2025,18:26:42,7,0:04:01.889,0:00:34.416,0:00:34.416,"27.197 km/h",-0:00:00.625
6113607,27-06-2025,18:27:16,8,0:04:34.702,0:00:32.813,0:00:32.813,"28.525 km/h",-0:00:01.603
,,,,,,,,
6113607,27-06-2025,18:32:03,1,0:00:46.050,0:00:46.050,0:00:46.050,"20.326 km/h",
6113607,27-06-2025,18:32:50,2,0:01:20.030,0:00:33.980,0:00:33.980,"27.546 km/h",-0:00:12.070
6113607,27-06-2025,18:33:24,3,0:01:54.088,0:00:34.058,0:00:34.058,"27.483 km/h",0:00:00.078
6113607,27-06-2025,18:33:58,4,0:02:28.998,0:00:34.910,0:00:34.910,"26.812 km/h",0:00:00.852
