Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
3472141,26-08-2026,17:37:22,1,0:00:37.960,0:00:37.960,0:00:37.960,"24.658 km/h",
3472141,26-08-2026,17:38:00,2,0:01:15.422,0:00:37.462,0:00:37.462,"24.985 km/h",-0:00:00.498
3472141,26-08-2026,17:38:38,3,0:01:54.272,0:00:38.850,0:00:38.850,"24.093 km/h",0:00:01.388
,,,,,,,,
3472141,26-08-2026,17:42:48,1,0:00:38.291,0:00:38.291,0:00:38.291,"24.444 km/h",
3472141,26-08-2026,17:43:26,2,0:01:14.959,0:00:36.668,0:00:36.668,"25.526 km/h",-0:00:01.623
3472141,26-08-2026,17:44:03,3,0:01:51.777,0:00:36.818,0:00:36.818,"25.422 km/h",0:00:00.150
3472141,26-08-2026,17:44:40,4,0:02:29.617,0:00:37.840,0:00:37.840,"24.736 km/h",0:00:01.022
,,,,,,,,
3472141,26-08-2026,17:52:55,1,0:00:36.218,0:00:36.218,0:00:36.218,"25.844 km/h",
3472141,26-08-2026,17:53:31,2,0:01:13.613,0:00:37.395,0:00:37.395,"25.030 km/h",0:00:01.177
3472141,26-08-2026,17:54:09,3,0:01:55.849,0:00:42.236,0:00:42.236,"22.161 km/h",0:00:04.841
3472141,26-08-2026,17:54:51,4,0:02:32.871,0:00:37.022,0:00:37.022,"25.282 km/h",-0:00:05.214
3472141,26-08-2026,17:55:28,5,0:03:12.324,0:00:39.453,0:00:39.453,"23.724 km/h",0:00:02.431
3472141,26-08-2026,17:56:08,6,0:03:48.775,0:00:36.451,0:00:36.451,"25.678 km/h",-0:00:03.002
3472141,26-08-2026,17:56:44,7,0:04:28.335,0:00:39.560,0:00:39.560,"23.660 km/h",0:00:03.109
3472141,26-08-2026,17:57:24,8,0:05:05.966,0:00:37.631,0:00:37.631,"24.873 km/h",-0:00:01.929
3472141,26-08-2026,17:58:01,9,0:05:45.332,0:00:39.366,0:00:39.366,"23.777 km/h",0:00:01.735
3472141,26-08-2026,17:58:41,10,0:06:23.411,0:00:38.079,0:00:38.079,"24.580 km/h",-0:00:01.287
,,,,,,,,
3472141,26-08-2026,18:10:35,1,0:00:36.173,0:00:36.173,0:00:36.173,"25.876 km/h",
3472141,26-08-2026,18:11:11,2,0:01:23.329,0:00:47.156,0:00:47.156,"19.849 km/h",0:00:10.983
3472141,26-08-2026,18:11:59,3,0:02:03.116,0:00:39.787,0:00:39.787,"23.525 km/h",-0:00:07.369
3472141,26-08-2026,18:12:38,4,0:02:40.476,0:00:37.360,0:00:37.360,"25.054 km/h",-0:00:02.427
3472141,26-08-2026,18:13:16,5,0:03:24.274,0:00:43.798,0:00:43.798,"21.371 km/h",0:00:06.438
3472141,26-08-2026,18:14:00,6,0:04:02.915,0:00:38.641,0:00:38.641,"24.223 km/h",-0:00:05.157
