Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8046737,16-08-2026,15:40:15,1,0:00:34.824,0:00:34.824,0:00:34.824,"26.878 km/h",
8046737,16-08-2026,15:40:50,2,0:01:07.991,0:00:33.167,0:00:33.167,"28.221 km/h",-0:00:01.657
8046737,16-08-2026,15:41:23,3,0:01:54.545,0:00:46.554,0:00:46.554,"20.106 km/h",0:00:13.387
8046737,16-08-2026,15:42:10,4,0:02:28.268,0:00:33.723,0:00:33.723,"27.756 km/h",-0:00:12.831
8046737,16-08-2026,15:42:44,5,0:03:03.604,0:00:35.336,0:00:35.336,"26.489 km/h",0:00:01.613
