Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
5893236,14-06-2026,11:30:00,1,0:00:34.428,0:00:34.428,0:00:34.428,"27.187 km/h",
,,,,,,,,
5893236,14-06-2026,11:32:15,1,0:00:32.176,0:00:32.176,0:00:32.176,"29.090 km/h",
5893236,14-06-2026,11:32:47,2,0:01:05.207,0:00:33.031,0:00:33.031,"28.337 km/h",0:00:00.855
5893236,14-06-2026,11:33:20,3,0:01:37.152,0:00:31.945,0:00:31.945,"29.300 km/h",-0:00:01.086
5893236,14-06-2026,11:33:52,4,0:02:10.638,0:00:33.486,0:00:33.486,"27.952 km/h",0:00:01.541
5893236,14-06-2026,11:34:26,5,0:02:42.999,0:00:32.361,0:00:32.361,"28.924 km/h",-0:00:01.125
5893236,14-06-2026,11:34:58,6,0:03:15.559,0:00:32.560,0:00:32.560,"28.747 km/h",0:00:00.199
,,,,,,,,
5893236,14-06-2026,11:40:26,1,0:00:54.718,0:00:54.718,0:00:54.718,"17.106 km/h",
5893236,14-06-2026,11:41:21,2,0:01:26.688,0:00:31.970,0:00:31.970,"29.277 km/h",-0:00:22.748
5893236,14-06-2026,11:41:53,3,0:01:58.612,0:00:31.924,0:00:31.924,"29.320 km/h",-0:00:00.046
5893236,14-06-2026,11:42:25,4,0:02:30.820,0:00:32.208,0:00:32.208,"29.061 km/h",0:00:00.284
,,,,,,,,
5893236,14-06-2026,11:58:35,1,0:00:32.724,0:00:32.724,0:00:32.724,"28.603 km/h",
5893236,14-06-2026,11:59:08,2,0:01:04.860,0:00:32.136,0:00:32.136,"29.126 km/h",-0:00:00.588
5893236,14-06-2026,11:59:40,3,0:01:37.163,0:00:32.303,0:00:32.303,"28.976 km/h",0:00:00.167
5893236,14-06-2026,12:00:12,4,0:02:09.636,0:00:32.473,0:00:32.473,"28.824 km/h",0:00:00.170
5893236,14-06-2026,12:00:45,5,0:02:42.062,0:00:32.426,0:00:32.426,"28.866 km/h",-0:00:00.047
5893236,14-06-2026,12:01:17,6,0:03:16.301,0:00:34.239,0:00:34.239,"27.337 km/h",0:00:01.813
5893236,14-06-2026,12:01:52,7,0:03:48.861,0:00:32.560,0:00:32.560,"28.747 km/h",-0:00:01.679
5893236,14-06-2026,12:02:24,8,0:04:21.072,0:00:32.211,0:00:32.211,"29.058 km/h",-0:00:00.349
,,,,,,,,
5893236,14-06-2026,12:10:16,1,0:00:32.623,0:00:32.623,0:00:32.623,"28.691 km/h",
5893236,14-06-2026,12:10:49,2,0:01:04.472,0:00:31.849,0:00:31.849,"29.389 km/h",-0:00:00.774
5893236,14-06-2026,12:11:20,3,0:01:37.012,0:00:32.540,0:00:32.540,"28.765 km/h",0:00:00.691
5893236,14-06-2026,12:11:53,4,0:02:09.123,0:00:32.111,0:00:32.111,"29.149 km/h",-0:00:00.429
5893236,14-06-2026,12:12:25,5,0:02:41.711,0:00:32.588,0:00:32.588,"28.722 km/h",0:00:00.477
,,,,,,,,
5893236,14-06-2026,12:16:44,1,0:00:31.834,0:00:31.834,0:00:31.834,"29.403 km/h",
5893236,14-06-2026,12:17:16,2,0:01:04.521,0:00:32.687,0:00:32.687,"28.635 km/h",0:00:00.853
