Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8046737,08-04-2026,18:36:26,1,0:00:40.525,0:00:40.525,0:00:40.525,"23.097 km/h",
8046737,08-04-2026,18:37:06,2,0:01:18.488,0:00:37.963,0:00:37.963,"24.656 km/h",-0:00:02.562
,,,,,,,,
8046737,08-04-2026,18:38:47,1,0:00:36.369,0:00:36.369,0:00:36.369,"25.736 km/h",
8046737,08-04-2026,18:39:23,2,0:01:13.931,0:00:37.562,0:00:37.562,"24.919 km/h",0:00:01.193
,,,,,,,,
8046737,08-04-2026,18:44:38,1,0:00:37.135,0:00:37.135,0:00:37.135,"25.205 km/h",
8046737,08-04-2026,18:45:15,2,0:01:15.552,0:00:38.417,0:00:38.417,"24.364 km/h",0:00:01.282
8046737,08-04-2026,18:45:53,3,0:01:51.335,0:00:35.783,0:00:35.783,"26.158 km/h",-0:00:02.634
8046737,08-04-2026,18:46:29,4,0:02:44.569,0:00:53.234,0:00:53.234,"17.583 km/h",0:00:17.451
8046737,08-04-2026,18:47:22,5,0:03:24.466,0:00:39.897,0:00:39.897,"23.460 km/h",-0:00:13.337
8046737,08-04-2026,18:48:02,6,0:04:01.083,0:00:36.617,0:00:36.617,"25.562 km/h",-0:00:03.280
8046737,08-04-2026,18:48:39,7,0:04:56.903,0:00:55.820,0:00:55.820,"16.768 km/h",0:00:19.203
8046737,08-04-2026,18:49:35,8,0:05:33.642,0:00:36.739,0:00:36.739,"25.477 km/h",-0:00:19.081
,,,,,,,,
8046737,08-04-2026,18:52:23,1,0:00:45.791,0:00:45.791,0:00:45.791,"20.441 km/h",
8046737,08-04-2026,18:53:09,2,0:01:23.233,0:00:37.442,0:00:37.442,"24.999 km/h",-0:00:08.349
8046737,08-04-2026,18:53:46,3,0:01:59.518,0:00:36.285,0:00:36.285,"25.796 km/h",-0:00:01.157
8046737,08-04-2026,18:54:22,4,0:02:36.945,0:00:37.427,0:00:37.427,"25.009 km/h",0:00:01.142
8046737,08-04-2026,18:55:00,5,0:03:26.737,0:00:49.792,0:00:49.792,"18.798 km/h",0:00:12.365
8046737,08-04-2026,18:55:50,6,0:04:19.415,0:00:52.678,0:00:52.678,"17.768 km/h",0:00:02.886
8046737,08-04-2026,18:56:42,7,0:04:59.380,0:00:39.965,0:00:39.965,"23.420 km/h",-0:00:12.713
,,,,,,,,
8046737,08-04-2026,19:31:51,1,0:00:36.019,0:00:36.019,0:00:36.019,"25.986 km/h",
,,,,,,,,
8046737,08-04-2026,19:37:07,1,0:00:38.397,0:00:38.397,0:00:38.397,"24.377 km/h",
8046737,08-04-2026,19:37:45,2,0:01:14.162,0:00:35.765,0:00:35.765,"26.171 km/h",-0:00:02.632
8046737,08-04-2026,19:38:21,3,0:01:50.374,0:00:36.212,0:00:36.212,"25.848 km/h",0:00:00.447
8046737,08-04-2026,19:38:57,4,0:02:29.691,0:00:39.317,0:00:39.317,"23.806 km/h",0:00:03.105
8046737,08-04-2026,19:39:37,5,0:03:04.924,0:00:35.233,0:00:35.233,"26.566 km/h",-0:00:04.084
8046737,08-04-2026,19:40:12,6,0:03:42.919,0:00:37.995,0:00:37.995,"24.635 km/h",0:00:02.762
8046737,08-04-2026,19:40:50,7,0:04:21.412,0:00:38.493,0:00:38.493,"24.316 km/h",0:00:00.498
8046737,08-04-2026,19:41:28,8,0:04:59.360,0:00:37.948,0:00:37.948,"24.665 km/h",-0:00:00.545
8046737,08-04-2026,19:42:06,9,0:05:34.843,0:00:35.483,0:00:35.483,"26.379 km/h",-0:00:02.465
,,,,,,,,
8046737,08-04-2026,19:44:21,1,0:00:35.357,0:00:35.357,0:00:35.357,"26.473 km/h",
,,,,,,,,
8046737,08-04-2026,19:48:22,1,0:00:42.350,0:00:42.350,0:00:42.350,"22.102 km/h",
