Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8931925,10-05-2026,10:59:21,1,0:00:46.996,0:00:46.996,0:00:46.996,"19.917 km/h",
8931925,10-05-2026,11:00:08,2,0:01:33.486,0:00:46.490,0:00:46.490,"20.133 km/h",-0:00:00.506
,,,,,,,,
8931925,10-05-2026,11:05:50,1,0:00:40.849,0:00:40.849,0:00:40.849,"22.914 km/h",
8931925,10-05-2026,11:06:31,2,0:01:21.804,0:00:40.955,0:00:40.955,"22.854 km/h",0:00:00.106
8931925,10-05-2026,11:07:12,3,0:02:20.188,0:00:58.384,0:00:58.384,"16.032 km/h",0:00:17.429
8931925,10-05-2026,11:08:10,4,0:03:01.089,0:00:40.901,0:00:40.901,"22.885 km/h",-0:00:17.483
8931925,10-05-2026,11:08:51,5,0:03:44.028,0:00:42.939,0:00:42.939,"21.798 km/h",0:00:02.038
