Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
6375754,19-04-2026,10:15:20,1,0:00:48.382,0:00:48.382,0:00:48.382,"19.346 km/h",
6375754,19-04-2026,10:16:08,2,0:01:40.716,0:00:52.334,0:00:52.334,"17.885 km/h",0:00:03.952
,,,,,,,,
6375754,19-04-2026,10:57:28,1,0:00:57.220,0:00:57.220,0:00:57.220,"16.358 km/h",
6375754,19-04-2026,10:58:25,2,0:01:39.995,0:00:42.775,0:00:42.775,"21.882 km/h",-0:00:14.445
6375754,19-04-2026,10:59:08,3,0:02:22.531,0:00:42.536,0:00:42.536,"22.005 km/h",-0:00:00.239
6375754,19-04-2026,10:59:50,4,0:03:05.056,0:00:42.525,0:00:42.525,"22.011 km/h",-0:00:00.011
6375754,19-04-2026,11:00:33,5,0:03:48.577,0:00:43.521,0:00:43.521,"21.507 km/h",0:00:00.996
6375754,19-04-2026,11:01:16,6,0:04:31.474,0:00:42.897,0:00:42.897,"21.820 km/h",-0:00:00.624
,,,,,,,,
6375754,19-04-2026,12:13:09,1,0:00:42.623,0:00:42.623,0:00:42.623,"21.960 km/h",
6375754,19-04-2026,12:13:52,2,0:01:34.929,0:00:52.306,0:00:52.306,"17.895 km/h",0:00:09.683
6375754,19-04-2026,12:14:44,3,0:02:21.298,0:00:46.369,0:00:46.369,"20.186 km/h",-0:00:05.937
6375754,19-04-2026,12:15:30,4,0:03:04.927,0:00:43.629,0:00:43.629,"21.454 km/h",-0:00:02.740
6375754,19-04-2026,12:16:14,5,0:03:50.748,0:00:45.821,0:00:45.821,"20.427 km/h",0:00:02.192
6375754,19-04-2026,12:17:00,6,0:04:34.902,0:00:44.154,0:00:44.154,"21.199 km/h",-0:00:01.667
6375754,19-04-2026,12:17:44,7,0:05:22.437,0:00:47.535,0:00:47.535,"19.691 km/h",0:00:03.381
6375754,19-04-2026,12:18:32,8,0:06:13.121,0:00:50.684,0:00:50.684,"18.467 km/h",0:00:03.149
6375754,19-04-2026,12:19:22,9,0:06:56.528,0:00:43.407,0:00:43.407,"21.563 km/h",-0:00:07.277
6375754,19-04-2026,12:20:06,10,0:07:42.764,0:00:46.236,0:00:46.236,"20.244 km/h",0:00:02.829
6375754,19-04-2026,12:20:52,11,0:08:31.154,0:00:48.390,0:00:48.390,"19.343 km/h",0:00:02.154
6375754,19-04-2026,12:21:40,12,0:09:20.610,0:00:49.456,0:00:49.456,"18.926 km/h",0:00:01.066
,,,,,,,,
6375754,19-04-2026,14:17:25,1,0:00:47.470,0:00:47.470,0:00:47.470,"19.718 km/h",
