Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8209271,13-09-2026,16:33:58,1,0:00:40.473,0:00:40.473,0:00:40.473,"23.127 km/h",
,,,,,,,,
8209271,13-09-2026,16:36:37,1,0:00:44.227,0:00:44.227,0:00:44.227,"21.164 km/h",
8209271,13-09-2026,16:37:21,2,0:01:24.846,0:00:40.619,0:00:40.619,"23.043 km/h",-0:00:03.608
8209271,13-09-2026,16:38:02,3,0:02:19.472,0:00:54.626,0:00:54.626,"17.135 km/h",0:00:14.007
,,,,,,,,
8209271,13-09-2026,16:40:17,1,0:00:41.338,0:00:41.338,0:00:41.338,"22.643 km/h",
8209271,13-09-2026,16:40:58,2,0:01:24.405,0:00:43.067,0:00:43.067,"21.734 km/h",0:00:01.729
8209271,13-09-2026,16:41:41,3,0:02:04.881,0:00:40.476,0:00:40.476,"23.125 km/h",-0:00:02.591
8209271,13-09-2026,16:42:21,4,0:02:46.639,0:00:41.758,0:00:41.758,"22.415 km/h",0:00:01.282
8209271,13-09-2026,16:43:03,5,0:03:28.395,0:00:41.756,0:00:41.756,"22.416 km/h",-0:00:00.002
8209271,13-09-2026,16:43:45,6,0:04:17.298,0:00:48.903,0:00:48.903,"19.140 km/h",0:00:07.147
,,,,,,,,
8209271,13-09-2026,16:54:13,1,0:00:44.337,0:00:44.337,0:00:44.337,"21.111 km/h",
8209271,13-09-2026,16:54:58,2,0:01:27.953,0:00:43.616,0:00:43.616,"21.460 km/h",-0:00:00.721
,,,,,,,,
8209271,13-09-2026,16:59:22,1,0:00:46.309,0:00:46.309,0:00:46.309,"20.212 km/h",
8209271,13-09-2026,17:00:08,2,0:01:28.820,0:00:42.511,0:00:42.511,"22.018 km/h",-0:00:03.798
