Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
5893236,19-08-2026,11:22:41,1,0:00:33.477,0:00:33.477,0:00:33.477,"27.959 km/h",
5893236,19-08-2026,11:23:14,2,0:01:09.070,0:00:35.593,0:00:35.593,"26.297 km/h",0:00:02.116
,,,,,,,,
5893236,19-08-2026,11:25:24,1,0:00:33.563,0:00:33.563,0:00:33.563,"27.888 km/h",
5893236,19-08-2026,11:25:58,2,0:01:07.095,0:00:33.532,0:00:33.532,"27.914 km/h",-0:00:00.031
5893236,19-08-2026,11:26:32,3,0:01:40.952,0:00:33.857,0:00:33.857,"27.646 km/h",0:00:00.325
5893236,19-08-2026,11:27:05,4,0:02:16.103,0:00:35.151,0:00:35.151,"26.628 km/h",0:00:01.294
5893236,19-08-2026,11:27:41,5,0:02:49.042,0:00:32.939,0:00:32.939,"28.416 km/h",-0:00:02.212
5893236,19-08-2026,11:28:13,6,0:03:26.622,0:00:37.580,0:00:37.580,"24.907 km/h",0:00:04.641
,,,,,,,,
5893236,19-08-2026,11:46:20,1,0:00:34.040,0:00:34.040,0:00:34.040,"27.497 km/h",
5893236,19-08-2026,11:46:54,2,0:01:07.305,0:00:33.265,0:00:33.265,"28.138 km/h",-0:00:00.775
,,,,,,,,
5893236,19-08-2026,11:49:16,1,0:00:34.339,0:00:34.339,0:00:34.339,"27.258 km/h",
5893236,19-08-2026,11:49:50,2,0:01:07.787,0:00:33.448,0:00:33.448,"27.984 km/h",-0:00:00.891
5893236,19-08-2026,11:50:24,3,0:01:41.908,0:00:34.121,0:00:34.121,"27.432 km/h",0:00:00.673
