Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
5811728,29-05-2025,15:34:46,1,0:00:30.126,0:00:30.126,0:00:30.126,"31.070 km/h",
,,,,,,,,
5811728,29-05-2025,15:36:54,1,0:00:58.309,0:00:58.309,0:00:58.309,"16.052 km/h",
5811728,29-05-2025,15:37:52,2,0:01:45.619,0:00:47.310,0:00:47.310,"19.784 km/h",-0:00:10.999
5811728,29-05-2025,15:38:40,3,0:02:13.637,0:00:28.018,0:00:28.018,"33.407 km/h",-0:00:19.292
5811728,29-05-2025,15:39:08,4,0:02:42.207,0:00:28.570,0:00:28.570,"32.762 km/h",0:00:00.552
5811728,29-05-2025,15:39:36,5,0:03:11.399,0:00:29.192,0:00:29.192,"32.064 km/h",0:00:00.622
5811728,29-05-2025,15:40:06,6,0:03:40.845,0:00:29.446,0:00:29.446,"31.787 km/h",0:00:00.254
5811728,29-05-2025,15:40:35,7,0:04:09.397,0:00:28.552,0:00:28.552,"32.782 km/h",-0:00:00.894
,,,,,,,,
5811728,29-05-2025,16:27:40,1,0:00:36.161,0:00:36.161,0:00:36.161,"25.884 km/h",
5811728,29-05-2025,16:28:16,2,0:01:04.594,0:00:28.433,0:00:28.433,"32.919 km/h",-0:00:07.728
5811728,29-05-2025,16:28:45,3,0:01:33.289,0:00:28.695,0:00:28.695,"32.619 km/h",0:00:00.262
5811728,29-05-2025,16:29:13,4,0:02:13.132,0:00:39.843,0:00:39.843,"23.492 km/h",0:00:11.148
5811728,29-05-2025,16:29:53,5,0:02:41.842,0:00:28.710,0:00:28.710,"32.602 km/h",-0:00:11.133
,,,,,,,,
5811728,29-05-2025,16:33:40,1,0:00:32.082,0:00:32.082,0:00:32.082,"29.175 km/h",
5811728,29-05-2025,16:34:12,2,0:00:59.868,0:00:27.786,0:00:27.786,"33.686 km/h",-0:00:04.296
5811728,29-05-2025,16:34:40,3,0:01:28.378,0:00:28.510,0:00:28.510,"32.831 km/h",0:00:00.724
5811728,29-05-2025,16:35:09,4,0:02:14.642,0:00:46.264,0:00:46.264,"20.232 km/h",0:00:17.754
5811728,29-05-2025,16:35:55,5,0:02:43.519,0:00:28.877,0:00:28.877,"32.413 km/h",-0:00:17.387
5811728,29-05-2025,16:36:24,6,0:03:11.456,0:00:27.937,0:00:27.937,"33.504 km/h",-0:00:00.940
5811728,29-05-2025,16:36:52,7,0:03:40.403,0:00:28.947,0:00:28.947,"32.335 km/h",0:00:01.010
5811728,29-05-2025,16:37:21,8,0:04:09.034,0:00:28.631,0:00:28.631,"32.692 km/h",-0:00:00.316
5811728,29-05-2025,16:37:49,9,0:04:36.811,0:00:27.777,0:00:27.777,"33.697 km/h",-0:00:00.854
,,,,,,,,
5811728,29-05-2025,17:09:39,1,0:00:27.746,0:00:27.746,0:00:27.746,"33.735 km/h",
5811728,29-05-2025,17:10:07,2,0:00:56.210,0:00:28.464,0:00:28.464,"32.884 km/h",0:00:00.718
5811728,29-05-2025,17:10:36,3,0:01:24.038,0:00:27.828,0:00:27.828,"33.635 km/h",-0:00:00.636
5811728,29-05-2025,17:11:03,4,0:01:55.149,0:00:31.111,0:00:31.111,"30.086 km/h",0:00:03.283
5811728,29-05-2025,17:11:34,5,0:02:23.342,0:00:28.193,0:00:28.193,"33.200 km/h",-0:00:02.918
5811728,29-05-2025,17:12:03,6,0:03:11.635,0:00:48.293,0:00:48.293,"19.382 km/h",0:00:20.100
5811728,29-05-2025,17:12:51,7,0:03:40.681,0:00:29.046,0:00:29.046,"32.225 km/h",-0:00:19.247
5811728,29-05-2025,17:13:20,8,0:04:08.336,0:00:27.655,0:00:27.655,"33.846 km/h",-0:00:01.391
5811728,29-05-2025,17:13:48,9,0:04:36.239,0:00:27.903,0:00:27.903,"33.545 km/h",0:00:00.248
5811728,29-05-2025,17:14:16,10,0:05:04.400,0:00:28.161,0:00:28.161,"33.237 km/h",0:00:00.258
5811728,29-05-2025,17:14:44,11,0:05:31.925,0:00:27.525,0:00:27.525,"34.005 km/h",-0:00:00.636
5811728,29-05-2025,17:15:11,12,0:06:00.012,0:00:28.087,0:00:28.087,"33.325 km/h",0:00:00.562
5811728,29-05-2025,17:15:39,13,0:06:50.959,0:00:50.947,0:00:50.947,"18.372 km/h",0:00:22.860
,,,,,,,,
5811728,29-05-2025,17:29:30,1,0:00:27.592,0:00:27.592,0:00:27.592,"33.923 km/h",
5811728,29-05-2025,17:29:58,2,0:00:59.317,0:00:31.725,0:00:31.725,"29.504 km/h",0:00:04.133
5811728,29-05-2025,17:30:29,3,0:01:28.436,0:00:29.119,0:00:29.119,"32.144 km/h",-0:00:02.606
5811728,29-05-2025,17:30:59,4,0:01:58.423,0:00:29.987,0:00:29.987,"31.214 km/h",0:00:00.868
5811728,29-05-2025,17:31:29,5,0:02:26.320,0:00:27.897,0:00:27.897,"33.552 km/h",-0:00:02.090
5811728,29-05-2025,17:31:56,6,0:02:53.842,0:00:27.522,0:00:27.522,"34.009 km/h",-0:00:00.375
5811728,29-05-2025,17:32:24,7,0:03:21.957,0:00:28.115,0:00:28.115,"33.292 km/h",0:00:00.593
5811728,29-05-2025,17:32:52,8,0:03:55.543,0:00:33.586,0:00:33.586,"27.869 km/h",0:00:05.471
5811728,29-05-2025,17:33:26,9,0:04:38.510,0:00:42.967,0:00:42.967,"21.784 km/h",0:00:09.381
5811728,29-05-2025,17:34:09,10,0:05:06.814,0:00:28.304,0:00:28.304,"33.070 km/h",-0:00:14.663
5811728,29-05-2025,17:34:37,11,0:06:03.332,0:00:56.518,0:00:56.518,"16.561 km/h",0:00:28.214
5811728,29-05-2025,17:35:33,12,0:06:32.235,0:00:28.903,0:00:28.903,"32.384 km/h",-0:00:27.615
5811728,29-05-2025,17:36:02,13,0:07:02.897,0:00:30.662,0:00:30.662,"30.526 km/h",0:00:01.759
,,,,,,,,
5811728,29-05-2025,17:37:33,1,0:00:50.185,0:00:50.185,0:00:50.185,"18.651 km/h",
5811728,29-05-2025,17:38:23,2,0:01:18.616,0:00:28.431,0:00:28.431,"32.922 km/h",-0:00:21.754
,,,,,,,,
5811728,29-05-2025,18:08:23,1,0:00:30.409,0:00:30.409,0:00:30.409,"30.780 km/h",
