Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8209271,25-05-2026,12:11:42,1,0:00:52.265,0:00:52.265,0:00:52.265,"17.909 km/h",
,,,,,,,,
8209271,25-05-2026,12:13:57,1,0:00:43.042,0:00:43.042,0:00:43.042,"21.746 km/h",
,,,,,,,,
8209271,25-05-2026,12:16:25,1,0:00:41.782,0:00:41.782,0:00:41.782,"22.402 km/h",
8209271,25-05-2026,12:17:07,2,0:01:22.607,0:00:40.825,0:00:40.825,"22.927 km/h",-0:00:00.957
8209271,25-05-2026,12:17:48,3,0:02:03.520,0:00:40.913,0:00:40.913,"22.878 km/h",0:00:00.088
8209271,25-05-2026,12:18:29,4,0:02:44.792,0:00:41.272,0:00:41.272,"22.679 km/h",0:00:00.359
,,,,,,,,
8209271,25-05-2026,17:00:28,1,0:00:47.222,0:00:47.222,0:00:47.222,"19.821 km/h",
,,,,,,,,
8209271,25-05-2026,17:04:44,1,0:00:42.215,0:00:42.215,0:00:42.215,"22.172 km/h",
,,,,,,,,
8209271,25-05-2026,17:07:22,1,0:00:48.266,0:00:48.266,0:00:48.266,"19.393 km/h",
8209271,25-05-2026,17:08:11,2,0:01:29.875,0:00:41.609,0:00:41.609,"22.495 km/h",-0:00:06.657
,,,,,,,,
8209271,25-05-2026,17:11:04,1,0:00:56.763,0:00:56.763,0:00:56.763,"16.490 km/h",
8209271,25-05-2026,17:12:01,2,0:01:37.846,0:00:41.083,0:00:41.083,"22.783 km/h",-0:00:15.680
,,,,,,,,
8209271,25-05-2026,17:17:44,1,0:00:45.434,0:00:45.434,0:00:45.434,"20.601 km/h",
8209271,25-05-2026,17:18:29,2,0:01:32.295,0:00:46.861,0:00:46.861,"19.974 km/h",0:00:01.427
8209271,25-05-2026,17:19:16,3,0:02:18.314,0:00:46.019,0:00:46.019,"20.339 km/h",-0:00:00.842
