Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8931925,26-08-2026,18:13:19,1,0:00:42.031,0:00:42.031,0:00:42.031,"22.269 km/h",
8931925,26-08-2026,18:14:01,2,0:01:24.386,0:00:42.355,0:00:42.355,"22.099 km/h",0:00:00.324
8931925,26-08-2026,18:14:44,3,0:02:06.001,0:00:41.615,0:00:41.615,"22.492 km/h",-0:00:00.740
8931925,26-08-2026,18:15:25,4,0:02:47.344,0:00:41.343,0:00:41.343,"22.640 km/h",-0:00:00.272
8931925,26-08-2026,18:16:07,5,0:03:33.168,0:00:45.824,0:00:45.824,"20.426 km/h",0:00:04.481
8931925,26-08-2026,18:16:53,6,0:04:13.492,0:00:40.324,0:00:40.324,"23.212 km/h",-0:00:05.500
8931925,26-08-2026,18:17:33,7,0:04:52.430,0:00:38.938,0:00:38.938,"24.038 km/h",-0:00:01.386
8931925,26-08-2026,18:18:12,8,0:05:33.350,0:00:40.920,0:00:40.920,"22.874 km/h",0:00:01.982
,,,,,,,,
8931925,26-08-2026,18:24:18,1,0:00:40.288,0:00:40.288,0:00:40.288,"23.233 km/h",
8931925,26-08-2026,18:24:58,2,0:01:23.153,0:00:42.865,0:00:42.865,"21.836 km/h",0:00:02.577
8931925,26-08-2026,18:25:41,3,0:02:01.395,0:00:38.242,0:00:38.242,"24.476 km/h",-0:00:04.623
8931925,26-08-2026,18:26:19,4,0:02:39.928,0:00:38.533,0:00:38.533,"24.291 km/h",0:00:00.291
8931925,26-08-2026,18:26:58,5,0:03:20.985,0:00:41.057,0:00:41.057,"22.798 km/h",0:00:02.524
,,,,,,,,
8931925,26-08-2026,18:48:02,1,0:00:37.284,0:00:37.284,0:00:37.284,"25.105 km/h",
