Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
6028027,16-05-2026,12:00:50,1,0:00:47.669,0:00:47.669,0:00:47.669,"19.635 km/h",
,,,,,,,,
6028027,16-05-2026,12:05:09,1,0:00:45.565,0:00:45.565,0:00:45.565,"20.542 km/h",
6028027,16-05-2026,12:05:55,2,0:01:33.528,0:00:47.963,0:00:47.963,"19.515 km/h",0:00:02.398
6028027,16-05-2026,12:06:43,3,0:02:14.836,0:00:41.308,0:00:41.308,"22.659 km/h",-0:00:06.655
6028027,16-05-2026,12:07:24,4,0:03:02.082,0:00:47.246,0:00:47.246,"19.811 km/h",0:00:05.938
6028027,16-05-2026,12:08:11,5,0:03:44.909,0:00:42.827,0:00:42.827,"21.855 km/h",-0:00:04.419
6028027,16-05-2026,12:08:54,6,0:04:28.374,0:00:43.465,0:00:43.465,"21.535 km/h",0:00:00.638
