Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
7264035,23-08-2026,14:24:48,1,0:00:34.763,0:00:34.763,0:00:34.763,"26.925 km/h",
7264035,23-08-2026,14:25:22,2,0:01:09.543,0:00:34.780,0:00:34.780,"26.912 km/h",0:00:00.017
7264035,23-08-2026,14:25:57,3,0:01:46.682,0:00:37.139,0:00:37.139,"25.203 km/h",0:00:02.359
,,,,,,,,
7264035,23-08-2026,14:27:51,1,0:00:36.044,0:00:36.044,0:00:36.044,"25.968 km/h",
7264035,23-08-2026,14:28:27,2,0:01:12.526,0:00:36.482,0:00:36.482,"25.656 km/h",0:00:00.438
7264035,23-08-2026,14:29:04,3,0:01:47.509,0:00:34.983,0:00:34.983,"26.756 km/h",-0:00:01.499
7264035,23-08-2026,14:29:39,4,0:02:22.395,0:00:34.886,0:00:34.886,"26.830 km/h",-0:00:00.097
7264035,23-08-2026,14:30:14,5,0:02:59.187,0:00:36.792,0:00:36.792,"25.440 km/h",0:00:01.906
,,,,,,,,
7264035,23-08-2026,15:22:29,1,0:00:34.057,0:00:34.057,0:00:34.057,"27.483 km/h",
,,,,,,,,
7264035,23-08-2026,15:26:01,1,0:00:56.419,0:00:56.419,0:00:56.419,"16.590 km/h",
7264035,23-08-2026,15:26:57,2,0:01:30.398,0:00:33.979,0:00:33.979,"27.546 km/h",-0:00:22.440
7264035,23-08-2026,15:27:31,3,0:02:17.554,0:00:47.156,0:00:47.156,"19.849 km/h",0:00:13.177
,,,,,,,,
7264035,23-08-2026,15:29:23,1,0:00:40.870,0:00:40.870,0:00:40.870,"22.902 km/h",
