Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8931925,20-09-2026,11:53:21,1,0:00:56.205,0:00:56.205,0:00:56.205,"16.653 km/h",
,,,,,,,,
8931925,20-09-2026,11:56:50,1,0:00:39.947,0:00:39.947,0:00:39.947,"23.431 km/h",
,,,,,,,,
8931925,20-09-2026,12:01:09,1,0:00:57.992,0:00:57.992,0:00:57.992,"16.140 km/h",
8931925,20-09-2026,12:02:07,2,0:01:38.584,0:00:40.592,0:00:40.592,"23.059 km/h",-0:00:17.400
,,,,,,,,
8931925,20-09-2026,15:34:38,1,0:00:38.289,0:00:38.289,0:00:38.289,"24.446 km/h",
8931925,20-09-2026,15:35:16,2,0:01:18.333,0:00:40.044,0:00:40.044,"23.374 km/h",0:00:01.755
