Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
4120178,13-06-2026,14:32:29,1,0:00:36.426,0:00:36.426,0:00:36.426,"25.696 km/h",
,,,,,,,,
4120178,13-06-2026,14:34:57,1,0:00:34.882,0:00:34.882,0:00:34.882,"26.833 km/h",
,,,,,,,,
4120178,13-06-2026,14:37:55,1,0:00:31.996,0:00:31.996,0:00:31.996,"29.254 km/h",
,,,,,,,,
4120178,13-06-2026,14:39:32,1,0:00:31.784,0:00:31.784,0:00:31.784,"29.449 km/h",
4120178,13-06-2026,14:40:04,2,0:01:04.168,0:00:32.384,0:00:32.384,"28.903 km/h",0:00:00.600
4120178,13-06-2026,14:40:36,3,0:01:36.106,0:00:31.938,0:00:31.938,"29.307 km/h",-0:00:00.446
4120178,13-06-2026,14:41:08,4,0:02:08.422,0:00:32.316,0:00:32.316,"28.964 km/h",0:00:00.378
