Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
3321418,13-09-2026,19:49:39,1,0:00:41.316,0:00:41.316,0:00:41.316,"22.655 km/h",
3321418,13-09-2026,19:50:21,2,0:01:36.376,0:00:55.060,0:00:55.060,"17.000 km/h",0:00:13.744
3321418,13-09-2026,19:51:16,3,0:02:20.611,0:00:44.235,0:00:44.235,"21.160 km/h",-0:00:10.825
3321418,13-09-2026,19:52:00,4,0:03:00.466,0:00:39.855,0:00:39.855,"23.485 km/h",-0:00:04.380
3321418,13-09-2026,19:52:40,5,0:03:55.326,0:00:54.860,0:00:54.860,"17.062 km/h",0:00:15.005
,,,,,,,,
3321418,13-09-2026,19:54:55,1,0:00:38.896,0:00:38.896,0:00:38.896,"24.064 km/h",
3321418,13-09-2026,19:55:34,2,0:01:18.377,0:00:39.481,0:00:39.481,"23.708 km/h",0:00:00.585
3321418,13-09-2026,19:56:14,3,0:02:03.625,0:00:45.248,0:00:45.248,"20.686 km/h",0:00:05.767
3321418,13-09-2026,19:56:59,4,0:02:42.015,0:00:38.390,0:00:38.390,"24.381 km/h",-0:00:06.858
,,,,,,,,
3321418,13-09-2026,20:11:43,1,0:00:45.606,0:00:45.606,0:00:45.606,"20.524 km/h",
