Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
4219765,18-04-2026,15:04:17,1,0:00:40.077,0:00:40.077,0:00:40.077,"23.355 km/h",
,,,,,,,,
4219765,18-04-2026,15:09:45,1,0:00:45.754,0:00:45.754,0:00:45.754,"20.457 km/h",
4219765,18-04-2026,15:10:31,2,0:01:32.388,0:00:46.634,0:00:46.634,"20.071 km/h",0:00:00.880
4219765,18-04-2026,15:11:18,3,0:02:20.992,0:00:48.604,0:00:48.604,"19.258 km/h",0:00:01.970
4219765,18-04-2026,15:12:06,4,0:03:08.513,0:00:47.521,0:00:47.521,"19.697 km/h",-0:00:01.083
4219765,18-04-2026,15:12:54,5,0:03:50.567,0:00:42.054,0:00:42.054,"22.257 km/h",-0:00:05.467
4219765,18-04-2026,15:13:36,6,0:04:31.525,0:00:40.958,0:00:40.958,"22.853 km/h",-0:00:01.096
4219765,18-04-2026,15:14:17,7,0:05:09.836,0:00:38.311,0:00:38.311,"24.432 km/h",-0:00:02.647
4219765,18-04-2026,15:14:55,8,0:05:54.048,0:00:44.212,0:00:44.212,"21.171 km/h",0:00:05.901
,,,,,,,,
4219765,18-04-2026,15:52:45,1,0:00:43.545,0:00:43.545,0:00:43.545,"21.495 km/h",
4219765,18-04-2026,15:53:28,2,0:01:24.055,0:00:40.510,0:00:40.510,"23.105 km/h",-0:00:03.035
4219765,18-04-2026,15:54:09,3,0:02:05.498,0:00:41.443,0:00:41.443,"22.585 km/h",0:00:00.933
4219765,18-04-2026,15:54:50,4,0:02:56.162,0:00:50.664,0:00:50.664,"18.475 km/h",0:00:09.221
4219765,18-04-2026,15:55:41,5,0:03:35.760,0:00:39.598,0:00:39.598,"23.638 km/h",-0:00:11.066
4219765,18-04-2026,15:56:21,6,0:04:19.024,0:00:43.264,0:00:43.264,"21.635 km/h",0:00:03.666
,,,,,,,,
4219765,18-04-2026,16:06:16,1,0:00:41.619,0:00:41.619,0:00:41.619,"22.490 km/h",
,,,,,,,,
4219765,18-04-2026,16:08:20,1,0:00:41.610,0:00:41.610,0:00:41.610,"22.495 km/h",
4219765,18-04-2026,16:09:02,2,0:01:23.729,0:00:42.119,0:00:42.119,"22.223 km/h",0:00:00.509
,,,,,,,,
4219765,18-04-2026,16:11:04,1,0:00:40.341,0:00:40.341,0:00:40.341,"23.202 km/h",
4219765,18-04-2026,16:11:44,2,0:01:20.861,0:00:40.520,0:00:40.520,"23.100 km/h",0:00:00.179
4219765,18-04-2026,16:12:25,3,0:02:12.566,0:00:51.705,0:00:51.705,"18.103 km/h",0:00:11.185
4219765,18-04-2026,16:13:17,4,0:02:51.416,0:00:38.850,0:00:38.850,"24.093 km/h",-0:00:12.855
4219765,18-04-2026,16:13:56,5,0:03:30.420,0:00:39.004,0:00:39.004,"23.998 km/h",0:00:00.154
4219765,18-04-2026,16:14:35,6,0:04:18.545,0:00:48.125,0:00:48.125,"19.449 km/h",0:00:09.121
,,,,,,,,
4219765,18-04-2026,16:34:11,1,0:00:40.391,0:00:40.391,0:00:40.391,"23.173 km/h",
,,,,,,,,
4219765,18-04-2026,16:35:55,1,0:00:38.536,0:00:38.536,0:00:38.536,"24.289 km/h",
