Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
9591883,18-04-2026,14:22:56,1,0:00:41.916,0:00:41.916,0:00:41.916,"22.330 km/h",
9591883,18-04-2026,14:23:38,2,0:01:39.213,0:00:57.297,0:00:57.297,"16.336 km/h",0:00:15.381
9591883,18-04-2026,14:24:35,3,0:02:19.271,0:00:40.058,0:00:40.058,"23.366 km/h",-0:00:17.239
9591883,18-04-2026,14:25:15,4,0:03:09.746,0:00:50.475,0:00:50.475,"18.544 km/h",0:00:10.417
9591883,18-04-2026,14:26:05,5,0:03:53.610,0:00:43.864,0:00:43.864,"21.339 km/h",-0:00:06.611
9591883,18-04-2026,14:26:49,6,0:04:36.926,0:00:43.316,0:00:43.316,"21.609 km/h",-0:00:00.548
9591883,18-04-2026,14:27:33,7,0:05:19.195,0:00:42.269,0:00:42.269,"22.144 km/h",-0:00:01.047
9591883,18-04-2026,14:28:15,8,0:06:00.326,0:00:41.131,0:00:41.131,"22.757 km/h",-0:00:01.138
,,,,,,,,
9591883,18-04-2026,14:31:55,1,0:00:41.880,0:00:41.880,0:00:41.880,"22.350 km/h",
9591883,18-04-2026,14:32:37,2,0:01:28.810,0:00:46.930,0:00:46.930,"19.945 km/h",0:00:05.050
9591883,18-04-2026,14:33:24,3,0:02:08.568,0:00:39.758,0:00:39.758,"23.542 km/h",-0:00:07.172
,,,,,,,,
9591883,18-04-2026,15:00:28,1,0:00:44.935,0:00:44.935,0:00:44.935,"20.830 km/h",
9591883,18-04-2026,15:01:13,2,0:01:25.485,0:00:40.550,0:00:40.550,"23.083 km/h",-0:00:04.385
9591883,18-04-2026,15:01:54,3,0:02:11.518,0:00:46.033,0:00:46.033,"20.333 km/h",0:00:05.483
,,,,,,,,
9591883,18-04-2026,15:04:47,1,0:00:39.456,0:00:39.456,0:00:39.456,"23.723 km/h",
9591883,18-04-2026,15:05:26,2,0:01:20.590,0:00:41.134,0:00:41.134,"22.755 km/h",0:00:01.678
9591883,18-04-2026,15:06:08,3,0:01:59.139,0:00:38.549,0:00:38.549,"24.281 km/h",-0:00:02.585
9591883,18-04-2026,15:06:46,4,0:02:44.022,0:00:44.883,0:00:44.883,"20.854 km/h",0:00:06.334
9591883,18-04-2026,15:07:31,5,0:03:23.199,0:00:39.177,0:00:39.177,"23.892 km/h",-0:00:05.706
9591883,18-04-2026,15:08:10,6,0:04:08.683,0:00:45.484,0:00:45.484,"20.579 km/h",0:00:06.307
9591883,18-04-2026,15:08:56,7,0:04:52.443,0:00:43.760,0:00:43.760,"21.389 km/h",-0:00:01.724
9591883,18-04-2026,15:09:39,8,0:05:36.218,0:00:43.775,0:00:43.775,"21.382 km/h",0:00:00.015
9591883,18-04-2026,15:10:23,9,0:06:26.830,0:00:50.612,0:00:50.612,"18.494 km/h",0:00:06.837
,,,,,,,,
9591883,18-04-2026,15:12:48,1,0:00:54.249,0:00:54.249,0:00:54.249,"17.254 km/h",
9591883,18-04-2026,15:13:42,2,0:01:32.012,0:00:37.763,0:00:37.763,"24.786 km/h",-0:00:16.486
9591883,18-04-2026,15:14:20,3,0:02:17.547,0:00:45.535,0:00:45.535,"20.556 km/h",0:00:07.772
9591883,18-04-2026,15:15:05,4,0:02:55.779,0:00:38.232,0:00:38.232,"24.482 km/h",-0:00:07.303
9591883,18-04-2026,15:15:44,5,0:03:31.898,0:00:36.119,0:00:36.119,"25.914 km/h",-0:00:02.113
,,,,,,,,
9591883,18-04-2026,15:56:32,1,0:00:47.340,0:00:47.340,0:00:47.340,"19.772 km/h",
9591883,18-04-2026,15:57:20,2,0:01:27.159,0:00:39.819,0:00:39.819,"23.506 km/h",-0:00:07.521
9591883,18-04-2026,15:58:00,3,0:02:12.166,0:00:45.007,0:00:45.007,"20.797 km/h",0:00:05.188
9591883,18-04-2026,15:58:45,4,0:02:50.881,0:00:38.715,0:00:38.715,"24.177 km/h",-0:00:06.292
9591883,18-04-2026,15:59:23,5,0:03:31.684,0:00:40.803,0:00:40.803,"22.939 km/h",0:00:02.088
,,,,,,,,
9591883,18-04-2026,16:01:38,1,0:00:37.546,0:00:37.546,0:00:37.546,"24.929 km/h",
