Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
7264035,19-04-2026,09:07:46,1,0:00:38.062,0:00:38.062,0:00:38.062,"24.591 km/h",
7264035,19-04-2026,09:08:24,2,0:01:17.018,0:00:38.956,0:00:38.956,"24.027 km/h",0:00:00.894
7264035,19-04-2026,09:09:03,3,0:02:09.881,0:00:52.863,0:00:52.863,"17.706 km/h",0:00:13.907
7264035,19-04-2026,09:09:56,4,0:02:51.409,0:00:41.528,0:00:41.528,"22.539 km/h",-0:00:11.335
7264035,19-04-2026,09:10:38,5,0:03:31.869,0:00:40.460,0:00:40.460,"23.134 km/h",-0:00:01.068
7264035,19-04-2026,09:11:18,6,0:04:13.145,0:00:41.276,0:00:41.276,"22.677 km/h",0:00:00.816
7264035,19-04-2026,09:11:59,7,0:04:58.334,0:00:45.189,0:00:45.189,"20.713 km/h",0:00:03.913
7264035,19-04-2026,09:12:45,8,0:05:37.070,0:00:38.736,0:00:38.736,"24.164 km/h",-0:00:06.453
,,,,,,,,
7264035,19-04-2026,09:14:42,1,0:00:41.129,0:00:41.129,0:00:41.129,"22.758 km/h",
,,,,,,,,
7264035,19-04-2026,10:48:55,1,0:00:41.240,0:00:41.240,0:00:41.240,"22.696 km/h",
7264035,19-04-2026,10:49:37,2,0:01:15.601,0:00:34.361,0:00:34.361,"27.240 km/h",-0:00:06.879
7264035,19-04-2026,10:50:11,3,0:01:51.764,0:00:36.163,0:00:36.163,"25.883 km/h",0:00:01.802
7264035,19-04-2026,10:50:47,4,0:02:27.936,0:00:36.172,0:00:36.172,"25.876 km/h",0:00:00.009
7264035,19-04-2026,10:51:23,5,0:03:08.470,0:00:40.534,0:00:40.534,"23.092 km/h",0:00:04.362
7264035,19-04-2026,10:52:04,6,0:03:43.240,0:00:34.770,0:00:34.770,"26.920 km/h",-0:00:05.764
7264035,19-04-2026,10:52:39,7,0:04:18.835,0:00:35.595,0:00:35.595,"26.296 km/h",0:00:00.825
7264035,19-04-2026,10:53:14,8,0:04:54.219,0:00:35.384,0:00:35.384,"26.453 km/h",-0:00:00.211
7264035,19-04-2026,10:53:50,9,0:05:36.813,0:00:42.594,0:00:42.594,"21.975 km/h",0:00:07.210
7264035,19-04-2026,10:54:32,10,0:06:17.188,0:00:40.375,0:00:40.375,"23.183 km/h",-0:00:02.219
,,,,,,,,
7264035,19-04-2026,11:59:20,1,0:00:43.076,0:00:43.076,0:00:43.076,"21.729 km/h",
7264035,19-04-2026,12:00:03,2,0:01:30.224,0:00:47.148,0:00:47.148,"19.852 km/h",0:00:04.072
7264035,19-04-2026,12:00:50,3,0:02:09.306,0:00:39.082,0:00:39.082,"23.950 km/h",-0:00:08.066
7264035,19-04-2026,12:01:29,4,0:02:45.398,0:00:36.092,0:00:36.092,"25.934 km/h",-0:00:02.990
7264035,19-04-2026,12:02:05,5,0:03:21.580,0:00:36.182,0:00:36.182,"25.869 km/h",0:00:00.090
7264035,19-04-2026,12:02:41,6,0:03:58.956,0:00:37.376,0:00:37.376,"25.043 km/h",0:00:01.194
7264035,19-04-2026,12:03:19,7,0:04:34.534,0:00:35.578,0:00:35.578,"26.308 km/h",-0:00:01.798
7264035,19-04-2026,12:03:54,8,0:05:21.191,0:00:46.657,0:00:46.657,"20.061 km/h",0:00:11.079
7264035,19-04-2026,12:04:41,9,0:05:56.348,0:00:35.157,0:00:35.157,"26.623 km/h",-0:00:11.500
7264035,19-04-2026,12:05:16,10,0:06:35.544,0:00:39.196,0:00:39.196,"23.880 km/h",0:00:04.039
7264035,19-04-2026,12:05:55,11,0:07:10.479,0:00:34.935,0:00:34.935,"26.793 km/h",-0:00:04.261
